Navn;Stasjon;Tid(norsk normaltid);Homogenisert middeltemperatur (mnd);Homogenisert middeltemperatur, avvik fra normalen 19611990 (mnd)
Trondheim - Tyholt;SN68170;mai.47;9,7;1
Trondheim - Tyholt;SN68170;jun.47;12,9;0,9
Trondheim - Tyholt;SN68170;jul.47;15,6;2,4
Trondheim - Tyholt;SN68170;aug.47;14,2;1,2
Trondheim - Tyholt;SN68170;sep.47;10,5;1,2
Trondheim - Tyholt;SN68170;okt.47;4,5;1,3
Trondheim - Tyholt;SN68170;nov.47;-1,6;2,4
Trondheim - Tyholt;SN68170;des.47;-3;1,5
Trondheim - Tyholt;SN68170;jan.48;-5,9;2,8
Trondheim - Tyholt;SN68170;feb.48;-0,6;1,9
Trondheim - Tyholt;SN68170;mar.48;3,2;3,1
Trondheim - Tyholt;SN68170;apr.48;5,5;2,3
Trondheim - Tyholt;SN68170;mai.48;8,7;0
Trondheim - Tyholt;SN68170;jun.48;10,7;1,3
Trondheim - Tyholt;SN68170;jul.48;15,5;2,3
Trondheim - Tyholt;SN68170;aug.48;11,8;1,2
Trondheim - Tyholt;SN68170;sep.48;9,6;0,3
Trondheim - Tyholt;SN68170;okt.48;3,7;2,1
Trondheim - Tyholt;SN68170;nov.48;1,6;0,8
Trondheim - Tyholt;SN68170;des.48;2,2;3,7
Trondheim - Tyholt;SN68170;jan.49;-0,4;2,7
Trondheim - Tyholt;SN68170;feb.49;0,6;3,1
Trondheim - Tyholt;SN68170;mar.49;-1,3;1,4
Trondheim - Tyholt;SN68170;apr.49;4,1;0,9
Trondheim - Tyholt;SN68170;mai.49;8,6;0,1
Trondheim - Tyholt;SN68170;jun.49;11;1
Trondheim - Tyholt;SN68170;jul.49;12,6;0,6
Trondheim - Tyholt;SN68170;aug.49;11,8;1,2
Trondheim - Tyholt;SN68170;sep.49;12,2;2,9
Trondheim - Tyholt;SN68170;okt.49;5,7;0,1
Trondheim - Tyholt;SN68170;nov.49;2,2;1,4
Trondheim - Tyholt;SN68170;des.49;-0,9;0,6
Trondheim - Tyholt;SN68170;jan.50;-3,5;0,4
Trondheim - Tyholt;SN68170;feb.50;-1,7;0,8
Trondheim - Tyholt;SN68170;mar.50;1;0,9
Trondheim - Tyholt;SN68170;apr.50;4,3;1,1
Trondheim - Tyholt;SN68170;mai.50;7,8;0,9
Trondheim - Tyholt;SN68170;jun.50;11,6;0,4
Trondheim - Tyholt;SN68170;jul.50;14,3;1,1
Trondheim - Tyholt;SN68170;aug.50;16;3
Trondheim - Tyholt;SN68170;sep.50;9,8;0,5
Trondheim - Tyholt;SN68170;okt.50;6,5;0,7
Trondheim - Tyholt;SN68170;nov.50;0,8;0
Trondheim - Tyholt;SN68170;des.50;-3;1,5
Trondheim - Tyholt;SN68170;jan.51;-5,5;2,4
Trondheim - Tyholt;SN68170;feb.51;-1,2;1,3
Trondheim - Tyholt;SN68170;mar.51;-2,9;3
Trondheim - Tyholt;SN68170;apr.51;2,5;0,7
Trondheim - Tyholt;SN68170;mai.51;5,8;2,9
Trondheim - Tyholt;SN68170;jun.51;9,8;2,2
Trondheim - Tyholt;SN68170;jul.51;11,6;1,6
